image_id,annotation_path,instability_score
1,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1.json,2
10,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\10.json,1
100,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\100.json,4
1000,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1000.json,8
1001,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1001.json,2
1002,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1002.json,2
1003,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1003.json,1
1004,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1004.json,6
1005,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1005.json,1
1006,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1006.json,1
1007,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1007.json,10
1008,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1008.json,1
1009,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1009.json,1
101,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\101.json,1
1010,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1010.json,4
1011,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1011.json,3
1012,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1012.json,1
1013,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1013.json,1
1014,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1014.json,1
1015,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1015.json,2
1016,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1016.json,3
1017,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1017.json,1
1018,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1018.json,7
1019,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1019.json,2
102,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\102.json,4
1020,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1020.json,5
1021,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1021.json,1
1022,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1022.json,3
1023,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1023.json,2
1024,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1024.json,2
1025,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1025.json,1
1026,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1026.json,1
1027,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1027.json,1
1028,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1028.json,1
1029,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1029.json,1
103,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\103.json,5
1030,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1030.json,1
1031,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1031.json,3
1032,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1032.json,1
1033,C:\Users\akshi\Downloads\Open-Pit-Mine-Object-Detection-Dataset\Open-Pit-Mine-Object-Detection-Dataset\annotation\1033.json,2
