date,year,day_of_year,region,latitude,longitude,elevation,rainfall_mm,temperature_c,humidity_percent,wind_speed_kmh,soil_wetness
2018-01-01,2018,1,Chhattisgarh,21.6289,85.5811,341.47,0.0,16.077777777777776,76.83,2.735878,0.63
2018-01-01,2018,1,Jharkhand,23.7957,23.7957,423.4,0.0,10.761111111111111,63.01,9.1410512,0.04
2018-01-01,2018,1,Karnataka,15.1394,76.9214,500.48,0.254,23.711111111111116,43.85,3.8141358000000003,0.31
2018-01-01,2018,1,Odisha,23.7957,86.4304,278.56,0.0,14.527777777777779,64.29,5.3269154,0.73
2018-01-02,2018,2,Chhattisgarh,21.6289,85.5811,341.47,0.0,15.711111111111112,63.08,5.6165966,0.62
2018-01-02,2018,2,Jharkhand,23.7957,23.7957,423.4,0.0,9.67222222222222,51.86,6.115492,0.04
2018-01-02,2018,2,Karnataka,15.1394,76.9214,500.48,0.0,23.000000000000004,46.23,3.8141358000000003,0.31
2018-01-02,2018,2,Odisha,23.7957,86.4304,278.56,0.0,12.52222222222222,65.09,7.9179528,0.72
2018-01-03,2018,3,Chhattisgarh,21.6289,85.5811,341.47,0.0,15.277777777777779,64.21,4.7153662,0.62
2018-01-03,2018,3,Jharkhand,23.7957,23.7957,423.4,0.0,9.738888888888889,60.87,8.7065294,0.04
2018-01-03,2018,3,Karnataka,15.1394,76.9214,500.48,0.0,23.111111111111107,52.88,5.5844098,0.3
2018-01-03,2018,3,Odisha,23.7957,86.4304,278.56,0.0,11.972222222222221,65.24,7.628271600000001,0.72
2018-01-04,2018,4,Chhattisgarh,21.6289,85.5811,341.47,0.0,15.572222222222223,58.16,4.0716301999999995,0.61
2018-01-04,2018,4,Jharkhand,23.7957,23.7957,423.4,0.0,9.8,59.86,9.688226799999999,0.04
2018-01-04,2018,4,Karnataka,15.1394,76.9214,500.48,0.0,22.988888888888887,53.03,6.9040686,0.29
2018-01-04,2018,4,Odisha,23.7957,86.4304,278.56,0.0,11.727777777777778,57.63,6.0511184,0.72
2018-01-05,2018,5,Chhattisgarh,21.6289,85.5811,341.47,0.0,15.127777777777775,55.26,4.2164708,0.61
2018-01-05,2018,5,Jharkhand,23.7957,23.7957,423.4,0.0,11.472222222222221,63.9,9.4307324,0.04
2018-01-05,2018,5,Karnataka,15.1394,76.9214,500.48,0.0,21.727777777777778,46.65,7.3064036,0.29
2018-01-05,2018,5,Odisha,23.7957,86.4304,278.56,0.0,11.588888888888889,60.39,5.9062778,0.72
2018-01-06,2018,6,Chhattisgarh,21.6289,85.5811,341.47,0.0,14.688888888888888,53.77,4.3130312,0.6
2018-01-06,2018,6,Jharkhand,23.7957,23.7957,423.4,0.0,12.36111111111111,68.55,6.0189316,0.04
2018-01-06,2018,6,Karnataka,15.1394,76.9214,500.48,0.0,21.450000000000003,43.41,5.2625418,0.28
2018-01-06,2018,6,Odisha,23.7957,86.4304,278.56,0.0,11.572222222222221,58.41,6.6626676,0.71
2018-01-07,2018,7,Chhattisgarh,21.6289,85.5811,341.47,0.0,15.411111111111113,48.69,4.3130312,0.6
2018-01-07,2018,7,Jharkhand,23.7957,23.7957,423.4,0.0,12.511111111111113,62.59,7.7731122,0.04
2018-01-07,2018,7,Karnataka,15.1394,76.9214,500.48,0.0,21.272222222222226,43.21,6.6948544000000005,0.28
2018-01-07,2018,7,Odisha,23.7957,86.4304,278.56,0.0,12.63888888888889,54.15,6.6304808,0.71
2018-01-08,2018,8,Chhattisgarh,21.6289,85.5811,341.47,0.0,15.38888888888889,50.74,3.9589764,0.59
2018-01-08,2018,8,Jharkhand,23.7957,23.7957,423.4,0.0,11.827777777777776,43.14,8.609969,0.04
2018-01-08,2018,8,Karnataka,15.1394,76.9214,500.48,0.0,21.227777777777774,50.51,9.3180786,0.27
2018-01-08,2018,8,Odisha,23.7957,86.4304,278.56,0.0,12.372222222222225,58.93,5.874091,0.71
2018-01-09,2018,9,Chhattisgarh,21.6289,85.5811,341.47,0.0,14.872222222222225,52.22,4.4578718,0.59
2018-01-09,2018,9,Jharkhand,23.7957,23.7957,423.4,0.0,13.15,39.37,9.3985456,0.04
2018-01-09,2018,9,Karnataka,15.1394,76.9214,500.48,0.0,22.327777777777776,60.86,10.7986714,0.27
2018-01-09,2018,9,Odisha,23.7957,86.4304,278.56,0.0,10.68888888888889,62.8,6.8718818,0.71
2018-01-10,2018,10,Chhattisgarh,21.6289,85.5811,341.47,0.0,15.011111111111113,50.88,4.2164708,0.58
2018-01-10,2018,10,Jharkhand,23.7957,23.7957,423.4,0.0,12.422222222222222,28.91,10.219308999999999,0.04
2018-01-10,2018,10,Karnataka,15.1394,76.9214,500.48,0.0,23.72222222222222,60.24,10.0100948,0.27
2018-01-10,2018,10,Odisha,23.7957,86.4304,278.56,0.0,11.61111111111111,60.08,6.6626676,0.7
2018-01-11,2018,11,Chhattisgarh,21.6289,85.5811,341.47,0.0,15.72777777777778,48.69,4.8602068,0.58
2018-01-11,2018,11,Jharkhand,23.7957,23.7957,423.4,0.0,10.72777777777778,46.24,8.497315200000001,0.04
2018-01-11,2018,11,Karnataka,15.1394,76.9214,500.48,0.0,25.572222222222223,56.91,8.609969,0.26
2018-01-11,2018,11,Odisha,23.7957,86.4304,278.56,0.0,12.377777777777778,56.95,5.6165966,0.7
2018-01-12,2018,12,Chhattisgarh,21.6289,85.5811,341.47,0.0,16.400000000000002,54.22,4.3934982,0.57
